İşlem Tipi;Sembol;Alış Tarihi;Satış Tarihi;İşlem Açıklaması;Miktar;USD Tutar;TCMB Kuru;TL Karşılığı;Kategori
Hisse Senedi;FXY;2024-12-24;2024-12-24;Satış Zararı;-0.33;-0.34;35.1697;-11.88;Alım-Satım
Hisse Senedi;FXY;2024-12-24;2024-12-24;Satış Zararı;-4.00;-2.53;35.1697;-88.83;Alım-Satım
Hisse Senedi;FXY;2024-12-24;2024-12-24;Satış Zararı;-28.00;-12.22;35.1697;-429.88;Alım-Satım
Hisse Senedi;SLV;2024-12-20;2024-12-20;Satış Zararı;94.00;0.00;35.0698;0.00;Alım-Satım
Hisse Senedi;TBIL;2024-12-06;2024-12-06;Satış Zararı;0.30;0.00;34.7377;0.00;Alım-Satım
Hisse Senedi;TBIL;2025-01-02;2025-01-02;Satış Zararı;0.30;0.00;35.3438;0.00;Alım-Satım
Hisse Senedi;TLT;2024-12-06;2024-12-06;Satış Zararı;0.44;0.00;34.7377;0.00;Alım-Satım
Hisse Senedi;TLT;2024-12-20;2024-12-20;Satış Zararı;28.00;0.00;35.0698;0.00;Alım-Satım
Hisse Senedi;TLT;2024-12-24;2024-12-24;Satış Zararı;0.52;0.00;35.1697;0.00;Alım-Satım
Hisse Senedi;USO;2024-12-20;2024-12-20;Satış Karı;-28.00;42.59;35.0698;1493.61;Alım-Satım
Hisse Senedi;USO;2024-12-20;2024-12-20;Satış Karı;-0.27;0.48;35.0698;16.92;Alım-Satım
Hisse Senedi;VIXY;2024-12-09;2024-12-09;Satış Zararı;12.00;0.00;34.7633;0.00;Alım-Satım
Hisse Senedi;VIXY;2024-12-09;2024-12-09;Satış Zararı;0.08;0.00;34.7633;0.00;Alım-Satım
Hisse Senedi;VIXY;2024-12-18;2024-12-18;Satış Karı;-12.00;63.91;34.9849;2235.93;Alım-Satım
Hisse Senedi;VIXY;2024-12-18;2024-12-18;Satış Karı;-0.08;0.43;34.9849;14.90;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Zararı;-2.00;0.00;34.6417;0.00;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Zararı;1.00;-194.92;34.6417;-6752.46;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Zararı;1.00;-194.22;34.6417;-6728.21;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Zararı;2.00;0.00;34.6417;0.00;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Zararı;1.00;0.00;34.6417;0.00;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Zararı;1.00;0.00;34.6417;0.00;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Karı;-1.00;23.08;34.6417;799.43;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Karı;-1.00;23.78;34.6417;823.68;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Karı;-1.00;23.08;34.6417;799.43;Alım-Satım
Opsiyon;SPXW 02DEC24 6050 C;2024-12-02;2024-12-02;Satış Karı;-1.00;23.78;34.6417;823.68;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Zararı;1.00;0.00;34.6417;0.00;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Zararı;1.00;0.00;34.6417;0.00;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Karı;-1.00;93.82;34.6417;3249.98;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Karı;-1.00;95.22;34.6417;3298.48;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Zararı;-2.00;0.00;34.6417;0.00;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Zararı;-1.00;0.00;34.6417;0.00;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Zararı;-1.00;0.00;34.6417;0.00;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Zararı;1.00;-23.92;34.6417;-828.73;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Zararı;1.00;-23.22;34.6417;-804.48;Alım-Satım
Opsiyon;SPXW 02DEC24 6055 C;2024-12-02;2024-12-02;Satış Zararı;1.00;-23.92;34.6417;-828.73;Alım-Satım
